Experiment_number,Participant_num,Female_0_Male_1,Task,tanned_fair_skin_face,face_number,H,S,V,R,G,B,L*,a*,b*,cold_hue_>90<270_chosen_1,time_ms
Experiment_1,1,0,hue vs saturation,tanned,11,26,0.76,1,255,145,61,70.76580273,35.49201918,60.14780523,0,46321
Experiment_1,1,0,hue vs saturation,tanned,8,222,0.57,1,109,153,255,64.36578805,14.51279823,-55.28698036,1,1791
Experiment_1,1,0,hue vs saturation,fair,5,207,0.63,1,94,182,255,71.59267825,-4.761963866,-43.92839445,1,18103
Experiment_1,1,0,hue vs saturation,tanned,7,176,0.13,1,221,255,252,97.59991561,-11.45391792,-2.258201066,1,9075
Experiment_1,1,0,hue vs saturation,fair,6,5,0.6,1,255,114,102,65.16363451,52.85514996,33.16966625,0,33530
Experiment_1,1,0,hue vs saturation,tanned,10,39,0.68,1,255,194,81,82.07549808,10.93216183,63.15807901,0,11702
Experiment_1,1,0,hue vs saturation,fair,1,194,0.69,1,79,213,255,79.88099762,-23.38407767,-31.10304598,1,9955
Experiment_1,1,0,hue vs saturation,tanned,12,246,0.71,1,92,73,255,44.60408163,58.47630859,-87.32268752,1,8674
Experiment_1,1,0,hue vs saturation,fair,2,348,0.68,1,255,81,116,60.25360835,67.64500901,18.7164768,0,16709
Experiment_1,1,0,hue vs saturation,fair,3,207,0.45,1,140,203,255,79.33259421,-6.694838468,-31.75768428,1,15209
Experiment_1,1,0,hue vs saturation,tanned,9,39,0.89,1,255,175,28,77.28310064,19.0202549,76.56716595,0,7880
Experiment_1,1,0,hue vs saturation,fair,4,330,0.28,1,255,183,219,81.96925027,31.30623072,-7.643069952,0,4667
Experiment_1,1,0,hue vs brightness,fair,2,197,1,0.48,0,87,122,34.44005495,-8.621737485,-26.02694665,1,20940
Experiment_1,1,0,hue vs brightness,fair,1,175,1,0.69,0,175,161,64.34925231,-40.44429452,-3.485509908,1,30179
Experiment_1,1,0,hue vs brightness,tanned,10,36,1,0.81,206,123,0,59.23971151,25.45969845,65.81755241,0,12326
Experiment_1,1,0,hue vs brightness,tanned,11,12,1,0.77,196,39,0,43.04336947,59.27971101,56.00303557,0,12041
Experiment_1,1,0,hue vs brightness,tanned,12,75,1,0.38,72,96,0,37.37801085,-21.94800465,43.88098249,0,5794
Experiment_1,1,0,hue vs brightness,fair,3,185,1,0.69,0,161,175,60.41350705,-29.59971727,-17.22266711,1,12610
Experiment_1,1,0,hue vs brightness,fair,4,198,1,0.89,0,158,226,61.60648435,-10.12593675,-43.88934782,1,22077
Experiment_1,1,0,hue vs brightness,fair,5,106,1,0.32,19,81,0,29.47118838,-34.36099419,36.60772109,1,3805
Experiment_1,1,0,hue vs brightness,tanned,7,77,1,0.42,76,107,0,41.29847165,-25.70012587,46.98755932,0,6093
Experiment_1,1,0,hue vs brightness,tanned,9,196,1,0.43,0,80,109,31.4432036,-9.601710249,-22.61192868,1,4700
Experiment_1,1,0,hue vs brightness,fair,6,27,1,0.43,109,49,0,27.97433872,24.00497556,38.773453,0,5954
Experiment_1,1,0,hue vs brightness,tanned,8,100,1,0.21,17,53,0,18.65060749,-23.82080361,25.93156766,1,29330
Experiment_1,2,1,hue vs saturation,tanned,7,3,0.53,1,255,126,119,67.66059996,48.41303491,26.9697699,0,54419
Experiment_1,2,1,hue vs saturation,fair,2,56,0.52,1,255,246,122,95.40322942,-12.65190558,59.91974304,0,13167
Experiment_1,2,1,hue vs saturation,fair,6,261,0.48,1,175,132,255,64.02829371,41.78276735,-55.53300369,1,5526
Experiment_1,2,1,hue vs saturation,tanned,10,225,0.71,1,73,119,255,53.84629234,29.21530874,-72.26700454,1,5896
Experiment_1,2,1,hue vs saturation,fair,5,66,0.54,1,241,255,117,96.617651,-22.87732615,63.27033566,0,1444
Experiment_1,2,1,hue vs saturation,fair,3,29,0.59,1,255,177,104,78.28867797,21.21265436,48.25795587,0,7647
Experiment_1,2,1,hue vs saturation,tanned,12,101,0.18,1,223,255,209,96.74316735,-18.44468823,18.58500598,1,8295
Experiment_1,2,1,hue vs saturation,fair,1,175,0.48,1,132,255,244,92.99569086,-37.10042886,-5.40957265,1,4075
Experiment_1,2,1,hue vs saturation,fair,4,191,0.44,1,142,234,255,87.88015133,-22.13545449,-18.72785133,1,1971
Experiment_1,2,1,hue vs saturation,tanned,9,227,0.44,1,142,167,255,69.90055304,13.64739523,-46.41720793,1,4300
Experiment_1,2,1,hue vs saturation,tanned,11,69,0.43,1,238,255,145,96.71452836,-21.49017954,50.52099158,0,2913
Experiment_1,2,1,hue vs saturation,tanned,8,149,0.5,1,127,255,189,91.5528521,-50.24828941,20.83338198,1,2046
Experiment_1,2,1,hue vs brightness,tanned,7,289,1,0.34,70,0,86,15.35008137,41.71683759,-32.95132759,0,11182
Experiment_1,2,1,hue vs brightness,tanned,12,126,1,0.8,0,204,20,71.71501782,-72.39892193,67.94829023,1,7227
Experiment_1,2,1,hue vs brightness,fair,6,204,1,0.5,0,76,127,31.11674439,0.48697718,-34.38007823,1,1214
Experiment_1,2,1,hue vs brightness,fair,1,202,1,0.85,0,137,216,54.91665609,-1.779759089,-48.89439184,1,3298
Experiment_1,2,1,hue vs brightness,fair,4,83,1,0.69,108,175,0,64.84181261,-43.73697266,65.90418256,0,3109
Experiment_1,2,1,hue vs brightness,tanned,11,102,1,0.04,3,10,0,2.135756699,-3.221277454,3.13969806,1,5188
Experiment_1,2,1,hue vs brightness,tanned,9,303,1,0.22,56,0,53,9.780915389,32.93918023,-18.89989885,0,3737
Experiment_1,2,1,hue vs brightness,tanned,8,201,1,0.75,0,124,191,49.70995846,-3.681476155,-42.9606993,1,3370
Experiment_1,2,1,hue vs brightness,tanned,10,72,1,0.32,65,81,0,31.8266537,-17.28569327,39.45033442,0,3992
Experiment_1,2,1,hue vs brightness,fair,2,137,1,0.23,0,58,16,20.2965227,-28.13136043,20.74063064,1,2174
Experiment_1,2,1,hue vs brightness,fair,5,195,1,0.38,0,72,96,28.05872268,-9.987168891,-19.6335275,1,1490
Experiment_1,2,1,hue vs brightness,fair,3,353,1,0.65,165,0,19,34.07922849,58.10056517,40.10880584,0,1255
Experiment_1,3,1,hue vs brightness,tanned,9,53,1,0.98,249,220,0,87.64321794,-6.991191498,87.39164043,0,10775
Experiment_1,3,1,hue vs brightness,fair,5,72,1,0.98,199,249,0,91.6370444,-41.25111496,88.65315407,0,23908
Experiment_1,3,1,hue vs brightness,fair,6,1,1,0.92,234,3,0,48.95500586,74.83316968,63.01604979,0,14596
Experiment_1,3,1,hue vs brightness,fair,2,56,1,0.93,237,221,0,86.85808654,-12.58161033,86.35070194,0,4791
Experiment_1,3,1,hue vs brightness,tanned,10,195,1,0.8,0,153,204,59.10562522,-15.39156315,-35.55373265,1,20494
Experiment_1,3,1,hue vs brightness,tanned,11,42,1,0.84,214,149,0,66.35994914,14.88386747,70.95624094,0,6313
Experiment_1,3,1,hue vs brightness,tanned,7,75,1,0.77,147,196,0,73.33929946,-38.07380231,73.37070096,0,3739
Experiment_1,3,1,hue vs brightness,fair,1,205,1,0.64,0,95,163,39.29055141,3.128336711,-43.19332935,1,5105
Experiment_1,3,1,hue vs brightness,fair,3,59,1,0.95,242,238,0,91.69666766,-18.79553081,90.04772461,0,14913
Experiment_1,3,1,hue vs brightness,tanned,8,45,1,0.66,168,126,0,55.32538022,6.868234385,60.98146541,0,4329
Experiment_1,3,1,hue vs brightness,fair,4,195,1,0.88,0,168,224,64.47311461,-16.33818129,-38.28882319,1,3890
Experiment_1,3,1,hue vs brightness,tanned,12,45,1,0.98,249,187,0,79.43156922,9.902140689,81.64573451,0,4201
Experiment_1,3,1,hue vs saturation,tanned,12,24,0.39,1,255,195,155,83.26146027,16.40894561,28.39145333,0,12296
Experiment_1,3,1,hue vs saturation,tanned,11,32,0.71,1,255,170,73,76.3693423,23.05217238,60.63817917,0,16144
Experiment_1,3,1,hue vs saturation,tanned,10,1,0.58,1,255,109,107,64.36992829,55.48238775,29.35900487,0,5815
Experiment_1,3,1,hue vs saturation,fair,6,357,0.62,1,255,96,104,62.18997138,60.92946454,28.22061399,0,3331
Experiment_1,3,1,hue vs saturation,tanned,7,52,0.58,1,255,235,107,92.45918659,-8.347033248,63.22542931,0,5156
Experiment_1,3,1,hue vs saturation,fair,5,27,0.4,1,255,198,153,83.93872709,14.62479314,30.34604475,0,7432
Experiment_1,3,1,hue vs saturation,tanned,8,40,0.38,1,255,222,158,89.8459558,2.77265713,35.60374069,0,5813
Experiment_1,3,1,hue vs saturation,tanned,9,40,0.47,1,255,215,135,87.78060017,4.017403648,44.50923062,0,4430
Experiment_1,3,1,hue vs saturation,fair,4,32,0.31,1,255,218,175,89.15730206,6.813048015,25.94887754,0,4098
Experiment_1,3,1,hue vs saturation,fair,1,29,0.42,1,255,199,147,84.07677071,13.4678407,33.64976213,0,5228
Experiment_1,3,1,hue vs saturation,fair,2,52,0.19,1,255,248,206,97.16711344,-4.282662056,21.04711402,0,12225
Experiment_1,3,1,hue vs saturation,fair,3,8,0.33,1,255,182,170,80.52604074,24.96009789,16.66520114,0,3814
Experiment_1,4,0,hue vs saturation,tanned,11,133,0.82,1,45,255,91,88.36811145,-79.17474977,62.73804827,1,29877
Experiment_1,4,0,hue vs saturation,tanned,10,51,0.82,1,255,223,45,89.02862874,-5.296126392,82.04890382,0,6563
Experiment_1,4,0,hue vs saturation,tanned,8,304,0.74,1,255,66,242,62.98358347,86.59329934,-49.39262119,0,5593
Experiment_1,4,0,hue vs saturation,fair,5,273,0.83,1,159,43,255,47.38984405,78.94032784,-82.49059624,0,14444
Experiment_1,4,0,hue vs saturation,fair,1,69,0.77,1,225,255,58,95.09059527,-32.58077879,83.01368146,0,9177
Experiment_1,4,0,hue vs saturation,tanned,9,56,0.17,1,255,252,211,98.26669232,-5.55868731,20.02961954,0,6995
Experiment_1,4,0,hue vs saturation,tanned,7,56,0.35,1,255,249,165,96.70899904,-10.00718819,41.07621703,0,214
Experiment_1,4,0,hue vs saturation,fair,6,351,0.91,1,255,22,57,54.16384823,79.20821842,45.22742642,0,7673
Experiment_1,4,0,hue vs saturation,fair,2,162,0.52,1,122,255,215,91.9372707,-45.95122426,8.000640072,1,9233
Experiment_1,4,0,hue vs saturation,fair,4,346,0.82,1,255,45,94,56.03260906,76.88574501,26.01089831,0,15279
Experiment_1,4,0,hue vs saturation,tanned,12,17,0.91,1,255,88,22,60.15645212,61.07481555,65.62674229,0,6130
Experiment_1,4,0,hue vs saturation,fair,3,171,0.32,1,173,255,242,94.65974072,-27.5640222,-1.731358168,1,18352
Experiment_1,4,0,hue vs brightness,tanned,10,60,1,0.66,168,168,0,66.77137409,-15.77019443,69.12291251,0,8602
Experiment_1,4,0,hue vs brightness,tanned,9,219,1,0.78,0,69,198,34.66792534,34.65461151,-71.32687716,1,6927
Experiment_1,4,0,hue vs brightness,fair,4,344,1,0.95,242,0,64,50.97541743,78.17389434,36.96286969,0,5888
Experiment_1,4,0,hue vs brightness,tanned,12,143,1,0.63,0,160,61,57.53873099,-56.66158505,40.89427471,1,4312
Experiment_1,4,0,hue vs brightness,tanned,11,334,1,0.66,168,0,72,35.58208744,61.12291502,9.138838629,0,12857
Experiment_1,4,0,hue vs brightness,fair,6,254,1,0.56,33,0,142,16.87528628,51.80440829,-66.98355463,1,8905
Experiment_1,4,0,hue vs brightness,fair,1,84,1,0.78,119,198,0,72.43528569,-49.28065085,72.02224836,0,7400
Experiment_1,4,0,hue vs brightness,fair,5,226,1,0.63,0,37,160,23.20716708,40.65398631,-67.59878281,1,14725
Experiment_1,4,0,hue vs brightness,tanned,7,347,1,0.6,153,0,33,31.53700966,55.40362239,28.66476491,0,10346
Experiment_1,4,0,hue vs brightness,fair,3,101,1,0.71,57,181,0,64.89711704,-60.44389424,65.15861042,1,4842
Experiment_1,4,0,hue vs brightness,tanned,8,193,1,0.82,0,163,209,62.33660012,-18.99122315,-33.31258935,1,6228
Experiment_1,4,0,hue vs brightness,fair,2,68,1,0.83,183,211,0,79.98561288,-30.42248957,79.42060449,0,14942
Experiment_1,5,0,hue vs saturation,tanned,10,77,0.64,1,208,255,91,94.17759994,-37.43394016,70.71024965,0,17515
Experiment_1,5,0,hue vs saturation,fair,3,341,0.7,1,255,76,133,59.9991025,70.75040127,8.42526698,0,4357
Experiment_1,5,0,hue vs saturation,tanned,8,39,0.62,1,255,199,96,83.41678894,9.209824992,57.99261813,0,5721
Experiment_1,5,0,hue vs saturation,fair,2,32,0.63,1,255,180,94,78.87431713,18.97775837,53.79099792,0,6154
Experiment_1,5,0,hue vs saturation,fair,5,225,0.53,1,119,153,255,64.9025228,16.52583752,-54.40125225,1,3366
Experiment_1,5,0,hue vs saturation,tanned,7,352,0.3,1,255,178,188,80.02841094,29.37841572,6.250247689,0,5466
Experiment_1,5,0,hue vs saturation,fair,1,236,0.62,1,96,107,255,52.08749551,39.73233626,-75.06879582,1,2764
Experiment_1,5,0,hue vs saturation,tanned,9,117,0.69,1,87,255,79,88.97480064,-74.37410164,68.18838194,1,2822
Experiment_1,5,0,hue vs saturation,fair,4,216,0.28,1,183,212,255,84.16024439,-0.150268619,-24.15541155,1,3653
Experiment_1,5,0,hue vs saturation,fair,6,137,0.5,1,127,255,163,91.08765946,-54.95728141,33.33153344,1,3406
Experiment_1,5,0,hue vs saturation,tanned,11,310,0.49,1,255,130,234,71.66734261,60.53739373,-31.39902139,0,3135
